feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out
Icos,6,1.524748622,1.431030229,9141563.5,0.855045994,0,0,75.27932961,6.616662202
Fyb,6,1.519494754,1.270832922,9141554.5,0.855045153,0,0,83.79888268,15.61076882
Cd28,6,1.424823044,1.26364114,9052052.5,0.846673682,0,0,77.51396648,10.74872756
Cd3d,6,1.329985064,1.153366519,8946508.5,0.836801741,0,0,77.51396648,10.74203054
Cd3g,6,1.2186857,1.089167328,8933590.5,0.835593471,0,0,74.8603352,8.732922582
Hif1a,6,1.625857019,1.152073151,8750050.5,0.818426261,2.02E-233,1.55E-230,84.21787709,37.60380391
Igkc,7,6.838476793,4.260570719,7891576.5,0.969034601,7.61E-301,1.17E-297,99.81447124,92.13713681
Jchain,7,4.490209894,3.67557764,7750543,0.951716598,6.62E-306,1.07E-302,94.99072356,54.05387517
Igha,7,4.522115942,2.915607405,6907897.5,0.848245176,1.76E-167,8.60E-165,96.28942486,82.89099212
Iglc1,7,2.509883389,1.935681412,6898288.5,0.847065253,6.68E-215,4.90E-212,87.01298701,36.85882587
Iglv1,7,2.033495382,1.953792091,6824923,0.838056444,0,0,70.6864564,6.353828844
Mzb1,7,2.262084644,1.909355171,6792326.5,0.834053804,4.54E-258,5.23E-255,75.69573284,24.03865246
Ighg2b,7,2.545110832,2.203209921,6638360.5,0.815147774,2.41E-249,2.59E-246,76.99443414,21.17942948
Slpi,7,1.888474662,1.727306891,6635950.5,0.814851842,0,0,70.6864564,11.55602621
Sec11c,7,1.925084958,1.475983557,6560697,0.805611198,1.03E-169,5.21E-167,72.91280148,36.28301013
Xbp1,7,1.881478795,1.313333657,6477262.5,0.795365981,7.53E-143,2.79E-140,73.84044527,44.86067907
Lyz2,8,2.890219198,2.825509161,7415123.5,0.920413602,0,0,85.36585366,5.167052597
Fcer1g,8,2.301319579,2.198629924,7254641.5,0.900493527,0,0,82.36397749,6.503473371
Fth1,8,4.641687262,1.576300763,7121365,0.883950377,4.50E-200,9.20E-198,98.31144465,96.21567979
Tyrobp,8,2.229447169,2.083679178,7107343,0.882209874,0,0,79.9249531,9.963612306
Ctss,8,2.347744375,1.929820907,7012591,0.870448637,3.26E-267,8.77E-265,81.61350844,30.96923586
Apoe,8,3.265223775,2.502740131,6899687.5,0.856434316,4.91E-207,1.06E-204,87.05440901,43.38736355
Psap,8,2.69193387,1.732226544,6889122,0.855122857,3.48E-184,6.69E-182,85.55347092,57.85643401
Il1b,8,2.483432635,2.374452859,6838324.5,0.84881754,0,0,72.98311445,7.330466424
Ctsb,8,2.333783656,1.597104574,6710323.5,0.832929219,6.05E-180,1.16E-177,83.11444653,44.0357261
Cxcl2,8,2.501270415,2.218591706,6634408.5,0.823506153,4.09E-302,1.22E-299,73.17073171,17.08236851
Rora,9,2.687566613,2.313647676,6598538,0.932680331,0,0,92.48927039,26.96614412
Emb,9,2.738595018,2.259064951,6441955.5,0.910547941,0,0,94.20600858,24.17994994
Nrip1,9,2.276227329,1.812362823,6392469,0.903553197,4.35E-259,3.27E-256,91.41630901,35.10077724
Tnfaip3,9,2.607296096,1.840728928,6264643,0.885485438,2.16E-208,1.16E-205,93.56223176,45.36951653
Il7r,9,1.430083075,1.305058635,6084592.5,0.860035927,0,0,78.54077253,8.319062047
Furin,9,1.706188442,1.451370129,6051248.5,0.855322869,4.15E-263,3.44E-260,81.11587983,22.80990647
Vps37b,9,2.711562234,1.7305803,5987600,0.846326376,2.57E-162,9.86E-160,92.70386266,49.78263733
Samsn1,9,1.804486724,1.418007963,5971145.5,0.84400059,2.86E-226,1.65E-223,83.47639485,26.01765248
Rgs1,9,2.249638685,1.855413561,5959988,0.842423516,9.86E-256,7.07E-253,80.90128755,21.32130154
Id2,9,1.949823719,1.452028887,5941159.5,0.839762173,7.88E-190,3.68E-187,85.83690987,33.42115663
